item,i_off
1,0.39695979515854146
2,-0.07273872975394832
3,-0.2006938737376928
4,-0.47005864283021204
5,-0.3322728211061139
6,0.42097613868071976
7,-0.2569858070550862
8,-0.2641762898890357
9,-0.2299777519220752
10,0.009246947229319033
11,0.12111466604307762
12,-0.7299777519220751
13,-0.16609504305483214
14,0.23156070961638642
15,-0.2265711892036576
16,0.38619579069828003
17,0.2764620729633485
18,0.13419076875108518
19,-0.7304281787814381
20,-0.5617497440094671
21,0.05059536706875663
22,-0.23711531190352153
23,-0.2909164106761338
24,-0.2423046990697581
25,0.11698296372094164
26,0.04615608352361512
27,-0.07833813799265003
28,0.26376712516524475
29,0.3730800710041564
30,-0.11508781081693206
31,-0.2436683475386121
32,0.4866764930611264
34,0.12521745908580417
36,0.2877813327097444
38,-0.39248967053524925
39,-0.21788395669495553
40,0.00011692301151161095
41,0.09161062897816058
42,-0.20535276047727094
43,-0.13831726527705435
44,-0.777807337859262
45,-0.17556271544002733
46,-0.24924974400946706
47,0.4725733326512829
48,-0.325552000623589
49,-0.04533762244303385
50,0.6941142671811132
52,-0.05791565661649808
53,0.25021435885443793
54,-0.2689339646630859
55,0.045571468466057065
57,-0.17594099577138858
58,0.434333674654044
60,-0.19668737085630883
61,0.0942323074224854
62,0.18787818287040786
63,-0.32299981930080035
64,-0.4329046156244574
65,-0.686535385155029
66,-0.41609504305483214
68,-0.08311897447889538
69,0.07488387419083968
70,0.009018509773194763
71,-0.5353468133923921
72,-0.1870176925775146
73,-0.02101217431973216
74,0.22279384583405676
75,-0.4329046156244574
76,-0.05922830812402337
77,0.045571468466057065
78,-0.03816473389385514
79,-0.4621531628461973
80,0.08354769218777129
81,-0.2284164106761338
82,0.1672382902785012
83,-0.04533762244303385
85,0.14758841599331726
86,0.22991692265719962
87,-0.41123511341844743
88,-0.2284164106761338
89,-0.13096971694001844
92,-0.38831726527705424
93,-0.3151802432558079
94,0.2256430765633139
95,-0.44450582003930983
96,0.00011692301151161095
97,0.20064307656331387
99,0.25021435885443793
100,-0.4040882055050997
101,0.19786610672461952
102,-0.21391824196382064
103,-0.11508781081693206
104,-0.0037419011014730103
105,-0.15061874176022919
106,0.045571468466057065
107,-0.08479560490955163
108,0.045571468466057065
110,0.5102777299082286
111,0.5648055937514801
112,0.01047744498952816
113,-0.03816473389385514
116,0.03608175803617935
117,-0.04533762244303385
118,-0.16645230781222872
119,-0.08311897447889538
121,0.08354769218777129
122,-0.5184392903836136
123,0.2503674723218936
125,0.07564307656331386
126,-0.6171174663596238
128,-0.04533762244303385
129,-0.13624671335212477
132,-0.14248967053524922
135,-0.38063125559090566
137,-0.04533762244303385
140,-0.039228308124023364
141,-0.04380217868535268
144,-0.023135824552718814
145,-0.2489435170745555
146,-0.03816473389385514
147,0.0007502559905328369
148,0.13648055937514797
149,-0.13624671335212477
150,0.3285394442025751
151,0.11560153789191378
152,-0.3331189744788954
153,-0.5530771145576067
154,0.19114988973299546
155,-0.40576769257751455
156,-0.03816473389385514
157,-0.33265963407652827
158,-0.5884580488325701
159,-0.3402075528400212
160,-0.5075562870676182
161,0.11052717884260416
162,0.438250255990533
163,0.07152754001020128
164,-0.10341641067613383
165,0.04047999933186868
166,-0.15354934927847053
168,-0.4480843813016141
169,-0.549356923436686
170,-0.18195437202620818
171,0.03376205104220924
172,-0.7107962457083937
173,-0.6883026579531641
174,-0.3993569234366861
175,0.3175241020844186
176,0.4572486952454854
177,-0.33276170972149877
178,-0.22715580426121565
179,-0.3331189744788954
180,-0.08788854756817834
181,-0.8192283081240233
183,0.0002143588544379534
184,0.0002143588544379534
185,-0.3738329351258375
186,-0.5353113292600316
187,0.1789389008933222
188,0.04829274687585262
189,-0.04533762244303385
190,-0.23290461562445747
191,-0.3329046156244574
193,-0.8892714451969399
194,0.14895794826491376
195,-0.19935692343668615
196,-0.652807337859262
198,-0.11018222274187997
199,0.1789389008933222
202,-0.04533762244303385
203,-0.08247589791558152
204,-0.5385259924330109
205,-0.15728550641370265
206,-0.13624671335212477
207,0.0008426520484802153
208,-0.49882766573413545
209,-0.0766262723553936
210,-0.14248967053524922
211,-0.04533762244303385
212,-0.11508781081693206
213,0.12548230742248542
214,0.08354769218777129
215,0.349381258239771
216,-0.0882292313602701
217,-0.43701769257751455
218,-0.04091641067613383
219,-0.04533762244303385
220,-0.04533762244303385
222,0.10077169187597664
223,0.3222690748581301
224,0.0947682045585803
225,0.0010564829254442385
227,-0.4991425645822479
228,-0.2689339646630859
229,-0.02888217224197682
230,-0.05970965085113825
231,-0.39334557758638977
232,0.22991692265719954
233,0.0007015380690696657
234,-0.49920852115284436
235,0.14214690272577826
236,-0.008971077498697824
237,-0.09590292852712316
238,0.08354769218777129
239,-0.22997775192207512
